,taxonID,count,model
0,ACRU,146708.0,0df3483cc211460caefb73b6fd369c4b
1,CAGL8,73756.0,0df3483cc211460caefb73b6fd369c4b
2,LIST2,52039.0,0df3483cc211460caefb73b6fd369c4b
3,LITU,24.0,0df3483cc211460caefb73b6fd369c4b
4,MAGNO,109856.0,0df3483cc211460caefb73b6fd369c4b
5,NYSY,400789.0,0df3483cc211460caefb73b6fd369c4b
6,PICL,43277.0,0df3483cc211460caefb73b6fd369c4b
7,PIEC2,334109.0,0df3483cc211460caefb73b6fd369c4b
8,PIEL,406902.0,0df3483cc211460caefb73b6fd369c4b
9,PIPA2,1599038.0,0df3483cc211460caefb73b6fd369c4b
10,PITA,87412.0,0df3483cc211460caefb73b6fd369c4b
11,QUFA,5205.0,0df3483cc211460caefb73b6fd369c4b
12,QUGE2,114465.0,0df3483cc211460caefb73b6fd369c4b
13,QUHE2,472785.0,0df3483cc211460caefb73b6fd369c4b
14,QULA2,17035.0,0df3483cc211460caefb73b6fd369c4b
15,QUMA13,55146.0,0df3483cc211460caefb73b6fd369c4b
16,QUNI,291911.0,0df3483cc211460caefb73b6fd369c4b
17,QUVI,30021.0,0df3483cc211460caefb73b6fd369c4b
